feature,mean_importance
credit_history,-0.0071389658618525535
number_credits,-0.005765026232161907
job,-0.0054697613343412275
other_debtors,-0.004699224154321646
people_liable,-0.004451189024641422
amount,-0.0014199663363358317
duration,-0.0010445001959725087
property,-0.00014535477864280333
employment_duration,-1.726732241049689e-05
installment_rate,0.0002723125450137975
housing,0.0005113123700385636
age,0.0007341417859249355
other_installment_plans,0.0007346543322679477
foreign_worker,0.0012318589788719025
savings,0.003984714942668532
purpose,0.006102780320108847
telephone,0.006475070886238321
status,0.006691848697265879
present_residence,0.008358040771577101
id,0.8932678904285704
