,year,sex,name,n,prop
1362509,2001,F,Emily,25055,0.01265378
1362510,2001,F,Madison,22164,0.01119371
1362511,2001,F,Hannah,20712,0.01046039
1362512,2001,F,Ashley,16526,0.0083463
1362513,2001,F,Alexis,16401,0.00828317
1362514,2001,F,Sarah,15896,0.00802812
1362515,2001,F,Samantha,15862,0.00801095
1362516,2001,F,Abigail,14807,0.00747813
1362517,2001,F,Elizabeth,14784,0.00746652
1362518,2001,F,Olivia,13978,0.00705945
1362519,2001,F,Jessica,13920,0.00703016
1362520,2001,F,Taylor,13690,0.006914
1362521,2001,F,Emma,13307,0.00672057
1362522,2001,F,Alyssa,13269,0.00670138
1362523,2001,F,Lauren,12781,0.00645492
1362524,2001,F,Grace,12088,0.00610493
1362525,2001,F,Kayla,11891,0.00600543
1362526,2001,F,Brianna,11774,0.00594634
1362527,2001,F,Anna,10574,0.0053403
1362528,2001,F,Megan,10298,0.00520091
1362529,2001,F,Victoria,10179,0.00514081
1362530,2001,F,Destiny,9748,0.00492313
1362531,2001,F,Sydney,9637,0.00486707
1362532,2001,F,Rachel,9537,0.00481657
1362533,2001,F,Jasmine,8955,0.00452264
1362534,2001,F,Jennifer,8923,0.00450647
1362535,2001,F,Julia,8837,0.00446304
1362536,2001,F,Isabella,8834,0.00446153
1362537,2001,F,Morgan,8735,0.00441153
1362538,2001,F,Chloe,8177,0.00412971
1362539,2001,F,Kaitlyn,8162,0.00412214
1362540,2001,F,Natalie,8048,0.00406456
1362541,2001,F,Hailey,8030,0.00405547
1362542,2001,F,Haley,8010,0.00404537
1362543,2001,F,Katherine,7879,0.00397921
1362544,2001,F,Nicole,7816,0.0039474
1362545,2001,F,Sophia,7160,0.00361609
1362546,2001,F,Alexandra,7041,0.00355599
1362547,2001,F,Amanda,6966,0.00351811
1362548,2001,F,Mackenzie,6934,0.00350195
1362549,2001,F,Maria,6840,0.00345448
1362550,2001,F,Savannah,6737,0.00340246
1362551,2001,F,Stephanie,6607,0.0033368
1362552,2001,F,Allison,6211,0.00313681
1362553,2001,F,Jenna,6142,0.00310196
