Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
#$@&! : the official Lloyd Llewellyn collection,Official Lloyd Llewellyn collection,10989363,Monograph,Language material ; Text,Volume,GBA0W2786,9780930193904,"Clowes, Daniel",,person,,"Clowes, Daniel [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,1997,3rd edition,"95 pages, illustrations, 28 cm",741.5973,YK.2005.b.3891,"Private investigators--Comic books, strips, etc",Comic or graphic novel ; Detective and mystery,English,Previous edition: 1993
#WhatDoYouSee? : a graphic novel anthology of rebuilding lives,,19185604,Monograph,Language material ; Still image ; Text,Volume,GBC021527,9780992664220,,,,,Fulfilling Lives (Programme) [organisation],,,England,Newcastle upon Tyne,Roots & Wings,2018,,"1 volume (unpaged), illustrations (black and white and colour), 24 cm",741.5942,YKL.2020.a.3026,"Mental health--Comic books, strips, etc",Comic or graphic novel ; Novel,English,"'Fulfilling Lives work with people with combinations of complex needs around mental health, homelessness, substance misuse and offending'--Back cover"
#takebacktheshield,,18247558,Monograph,Language material ; Still image ; Text,Volume,GBB732553,9781302903299,"Spencer, Nick",,person,author,"Spencer, Nick, author [person]",Captain America. Sam Wilson,4 [Captain America. Sam Wilson],United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations, 23 cm",741.5,,"Captain America, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
'68. Volume 1. Better run through the jungle,Better run through the jungle,16039698,Monograph,Language material ; Text,Volume,GBB221090,9781607065166,"Kidwell, Mark",,person,,"Fotos, Jay [person] ; Jones, Nat, 1976- [person] ; Kidwell, Mark [person]",,,United States of America,"Berkeley, California",Image Comics,2012,,"1 volume (unpaged), chiefly illustrations (chiefly colour), 26 cm",741.5973,YK.2012.b.6788,,Comic or graphic novel ; Horror,English,"'Originally published in single magazine form as '68 #1-4, and '68 encore edition'--T.p. verso"
'Bots of science,Trans formers ; Trans formers animated : bots of science ; Transformers : bots of science ; Transformers animated (Television program),15619333,Monograph,Language material ; Text,Volume,GBB093315,9781600107672,"Bryant, Megan E.",,person,,"Robbins, Robbie [person] ; Boo, 1981- [person] ; Shalloo, Liam [person] ; Bryant, Megan E. [person] ; Isenberg, Marty [person]","Adventures in reading, junior graphic novel ; Transformers","4 [Adventures in reading, junior graphic novel]",United States of America,"San Diego, California",,2010,,"1 volume (unpaged), chiefly colour illustrations, 23 cm",741.5973,YK.2011.a.11548,"Robots--Comic books, strips, etc--Juvenile fiction ; Transformers (Fictitious characters)--Fiction ; Transformers (Fictitious characters)--Comic books, strips, etc--Juvenile fiction ; Robots--Fiction ; Graphic novels ; Science fiction",Children's fiction ; Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,"'Based on the Transformers Animated: The arrival story 'Bots of science,' written by Marty Isenberg'--T.p. verso"
'Breed. Volume one. The book of Genesis,Book of Genesis,15786001,Monograph,Language material ; Text,Volume,GBB144062,9781607063780,"Starlin, Jim",,person,,"Starlin, Jim [person]",,,United States of America,"Berkeley, California",Image Comics,2011,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.12266,"Demonology--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel,English,'Originally published in single magazine from as 'Breed #1-6 by Malibu Comics'--Indicia
'Breed. Volume three. The book of Revelations,Book of Revelations ; Breed. III. The book of Revelations,16191836,Monograph,Language material ; Text,Volume,GBB2A5498,9781607066026,"Starlin, Jim",,person,,"Starlin, Jim [person]",,,United States of America,"Berkeley, California",Image Comics,2012,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2013.b.3153,Demonology--Fiction ; Good and evil--Fiction,Comic or graphic novel ; Fiction,English,'Originally published in single-magazine form as 'Breed #1-7'--Indicia
'Breed. Volume two. The book of Ecclesiastes,Book of Ecclesiastes,15817165,Monograph,Language material ; Text,Volume,GBB165488,9781607063957 ; 9781607063964,"Starlin, Jim",,person,,"Starlin, Jim [person]",,,United States of America,"Berkeley, California",Image Comics,2011,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.15718,"Demonology--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel,English,'Originally published in single magazine from as 'Breed II #1-6 by Malibu Comics'--Indicia
'Cap' Stubbs and Tippie,Cap Stubbs and Tippie. Selections,18667074,Monograph,Language material ; Still image ; Text,Volume,GBB802305,9781684050130,Edwina,1893-1990,person,author ; illustrator,"Edwina, 1893-1990, author ; illustrator [person]",The Library of American Comics. Essentials,volume 11 [The Library of American Comics. Essentials],United States of America,San Diego,Library of American Comics,2018,,"383 pages, chiefly illustrations, 12 x 30 cm",741.56973,LC.31.a.22313,"Edwina, 1893-1990 ; Tippie and Cap Stubbs (Comic strip) ; Boys ; Dogs",Comic or graphic novel,English,
'Fuc_ __u _ss __le' : a comic strip collection,,15649842,Monograph,Language material ; Text,Volume,GBB0B1091,9781606994153,"Ryan, Johnny",,person,,"Ryan, Johnny [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011,,"1 volume, chiefly colour illustrations, 22 cm",741.5973,,"Yuckerella, Blecky (Fictitious character)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction,English,
