ISBN,Title,Other Titles,Author,All Names,Country of Publication,Place of Publication,Publisher,Publication Year
9780930193904,#$@&! : the official Lloyd Llewellyn collection,Official Lloyd Llewellyn collection,"Clowes, Daniel","Clowes, Daniel [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,1997
9780992664220,#WhatDoYouSee? : a graphic novel anthology of rebuilding lives,,,Fulfilling Lives (Programme) [organisation],England,Newcastle upon Tyne,Roots & Wings,2018
9781302903299,#takebacktheshield,,"Spencer, Nick","Spencer, Nick, author [person]",United States of America,New York,Marvel Worldwide,2017
9781607065166,'68. Volume 1. Better run through the jungle,Better run through the jungle,"Kidwell, Mark","Fotos, Jay [person] ; Jones, Nat, 1976- [person] ; Kidwell, Mark [person]",United States of America,"Berkeley, California",Image Comics,2012
9781600107672,'Bots of science,Trans formers ; Trans formers animated : bots of science ; Transformers : bots of science ; Transformers animated (Television program),"Bryant, Megan E.","Robbins, Robbie [person] ; Boo, 1981- [person] ; Shalloo, Liam [person] ; Bryant, Megan E. [person] ; Isenberg, Marty [person]",United States of America,"San Diego, California",,2010
9781607063780,'Breed. Volume one. The book of Genesis,Book of Genesis,"Starlin, Jim","Starlin, Jim [person]",United States of America,"Berkeley, California",Image Comics,2011
9781607066026,'Breed. Volume three. The book of Revelations,Book of Revelations ; Breed. III. The book of Revelations,"Starlin, Jim","Starlin, Jim [person]",United States of America,"Berkeley, California",Image Comics,2012
9781607063957 ; 9781607063964,'Breed. Volume two. The book of Ecclesiastes,Book of Ecclesiastes,"Starlin, Jim","Starlin, Jim [person]",United States of America,"Berkeley, California",Image Comics,2011
9781684050130,'Cap' Stubbs and Tippie,Cap Stubbs and Tippie. Selections,Edwina,"Edwina, 1893-1990, author ; illustrator [person]",United States of America,San Diego,Library of American Comics,2018
9781606994153,'Fuc_ __u _ss __le' : a comic strip collection,,"Ryan, Johnny","Ryan, Johnny [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011
9781632152695,'Gridiron',Southern bastards,"Aaron, Jason","Aaron, Jason, author [person] ; Latour, Jason, 1977-, artist [person] ; Girner, Sebastian, editor [person] ; Fletcher, Jared K. [person]",United States of America,"Berkeley, California",Image Comics,2015
9781606994832,'Me li'l swee'pea',,"Segar, E. C. (Elzie Crisler)","Segar, E. C. (Elzie Crisler), 1894-1938 [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011
9780785137504,'Nam. Vol. 1,The 'Nam,"Murray, Doug","Golden, Michael, artist [person] ; Murray, Doug [person] ; Vansant, Wayne [person] ; Hama, Larry [person]",United States of America,New York,Marvel Publishing,2009
9781684050185,'Old proldiers never die',Starstruck : 'old proldiers never die',"Lee, Elaine","Lee, Elaine, author [person] ; Kaluta, Michael Wm (Michael William), artist [person] ; Moyer, Lee, artist [person]",United States of America,San Diego,,2017
9781606995358,'Only a poor old man',,"Barks, Carl","Barks, Carl, 1901-2000 [person] ; Groth, Gary [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2012
9781603090681,'Open for business!',Okie Dokie Donuts : 'open for business!',"Eliopoulos, Chris","Eliopoulos, Chris [person]",United States of America,"Marietta, Georgia",Top Shelf Productions,2011
9781934985137,'Survivors',Novo. Volume 3. 'Survivors',"Bracco, Michael S.","Bracco, Michael S., artist ; author [person]",United States of America,"Levittown, New York",Alterna Comics,2009
9780785139676,'The hole' from X-Men : divided we stand #2,"Road to war of kings ; Secret invasion : war of kings ; War of kings saga ; War of kings, road to war of kings ; X-Men : kingbreaker",,"Pelletier, Paul, 1970- [person] ; Abnett, Dan [person]",United States of America,New York,Marvel Publishing,2009
9781563898624 ; 9781840233605,'Til death do us part,,,"Shuster, Joe, 1914-1992 [person] ; McGuinness, Ed [person] ; Siegel, Jerry, 1914-1996 [person] ; Loeb, Jeph [person]",England ; United States of America,London ; New York,DC Comics ; Titan,2001
9781302909765,'Til death do us part,,"Guggenheim, Marc","Guggenheim, Marc, author [person]",United States of America,New York,Marvel Worldwide,2018
9780755213962,'Till the cows come in,Orchard Down ; Sam and Jack,"Bayliss, R. C.","Bayliss, R. C. [person]",England,"Sandy, Bedfordshire",Bright Pen,2011
9781606994047,'Wha's a jeep?',,"Segar, E. C. (Elzie Crisler)","Segar, E. C. (Elzie Crisler), 1894-1938 [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011
9781629634487,(H) afrocentric comics. Volumes 1-4,Works. Selections,"Smith, Juliana","Smith, Juliana, author [person] ; Hampton, Mike, artist [person] ; Nelson, Ronald R., artist [person]",United States of America,Oakland,PM Press,2017
9781629634555 ; 9781629634722 ; 9781629634890,(H) afrocentric comics. Volumes 1-4,Works. Selections,"Smith, Juliana","Smith, Juliana, author [person] ; Hampton, Mike, artist [person] ; Nelson, Ronald R., artist [person]",United States of America,Oakland,PM Press,2017
9781849180320,--and die,Mourir. English,"Hamme, Jean van","Hamme, Jean van, 1939- [person] ; Francq, Philippe [person]",England,Canterbury,Cinebook,2010
9781632159007,1%,One percent ; One% ; Renato Jones. Season one. The one%,"Andrews, Kaare","Andrews, Kaare, artist ; author [person] ; Powell, Jeff, letterer [person] ; Girner, Sebastian, editor [person]",United States of America,"Portland, Oregon",Image Comics,2017
9781632367655,10 dance,Ten dance,Inouesatoh,"Inouesatoh, artist ; author [person]",United States of America,New York,Kodansha Comics,2019
9781632367662,10 dance. 2,Ten dance,Inouesatoh,"Inouesatoh, artist ; author [person]",United States of America,New York,Kodansha Comics,2019
9781632367679,10 dance. 3,Ten dance,Inouesatoh,"Inouesatoh, artist ; author [person]",United States of America,New York,Kodansha Comics,2019
9781632367808,10 dance. 4,Ten dance,Inouesatoh,"Inouesatoh, artist ; author [person]",United States of America,New York,Kodansha Comics,2019
9781632368256,10 dance. 5,Ten dance,"Inoue, Sato","Inoue, Sato, artist ; author [person]",United States of America,New York,Kodansha Comics,2019
9781632369239,10 dance. 6,Ten dance,"Inoue, Sato","Inoue, Sato, artist ; author [person]",United States of America,New York,Kodansha Comics,2020
9781600091841,"10, 20, 30","Ten, twenty, thirty","Kang, Morim","Kang, Morim [person]",England ; United States of America,"Jersey City, New Jersey ; London",Net Comics ; Turnaround,2007
9781600091858,"10, 20, 30","Ten, twenty, thirty","Kang, Morim","Kang, Morim [person]",England ; United States of America,"Jersey City, New Jersey ; London",Net Comics ; Turnaround,2008
9781401218423 ; 9781848565524,"10,000 bullets",10000 bullets ; Hitman. Ten thousand bullets ; Ten thousand bullets,"Ennis, Garth","Ennis, Garth [person] ; McCrea, John, 1966- [person] ; Pugh, Steve, 1966- [person] ; Ezquerra, Carlos [person]",England ; United States of America,London ; New York,DC Comics ; Titan,2010
9781847738950,"10,000 zombies : create more than 10,000 zombies and 10,000 stories",,"Hartman, David","Hartman, David, 1949- [person] ; Cox, Alex, 1954- [person]",England,London,New Holland,2011
9781401245061,100 Bullets : Brother Lono,Brother Lono,"Azzarello, Brian","Azzarello, Brian, author [person] ; Risso, Eduardo, illustrator [person]",United States of America,New York,DC Comics ; Vertigo,2014
9781401242718 ; 9781401261337,100 Bullets : the deluxe edition book five,One hundred bullets,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Azzarello, Brian [person]",United States of America,New York,DC Comics ; Vertigo,2013
9781401242718 ; 9781401261337,100 Bullets : the deluxe edition book five,One hundred bullets,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Azzarello, Brian [person]",United States of America,New York,DC Comics ; Vertigo,2013
9781401250560,100 bullets. Book 1,,"Azzarello, Brian","Azzarello, Brian, author [person] ; Risso, Eduardo, artist [person]",United States of America,New York,DC Comics,2014
9781401254315,100 bullets. Book 2,100 bullets. Book two ; One hundred bullets. Book two,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Azzarello, Brian, author [person] ; Robins, Clem, 1955-, illustrator [person]",United States of America,New York,DC Comics,2015
9781401254315,100 bullets. Book two,100 bullets. Book 2 ; One hundred bullets. Book two,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Azzarello, Brian, author [person] ; Robins, Clem, 1955-, illustrator [person]",United States of America,New York,DC Comics,2015
9781848562103,100%,,"Pope, Paul","Pope, Paul [person]",England,London,Titan,2009
9781845760373,100%,Hundred percent ; One hundred percent,"Pope, Paul","Pope, Paul [person]",England,London,Titan,2010
