feature,mean_importance
amount,-0.03131387208145968
duration,-0.0064235917365254025
people_liable,-0.004389462873553041
number_credits,-0.001370478446549983
other_debtors,-0.0005555683851914406
credit_history,-0.00024223774624660966
employment_duration,-5.001741119088354e-05
property,5.5986674308661224e-05
installment_rate,0.0009737997256436204
job,0.0015673756143375294
other_installment_plans,0.0022727313993665234
age,0.0028106258022049246
housing,0.003671461194151249
telephone,0.008921859772635553
purpose,0.009178067192444472
foreign_worker,0.011523315107087661
present_residence,0.016856825356652717
savings,0.018345769651592625
status,0.029610288595325773
