feature,shap_importance
status,0.3069504042583955
savings,0.28521056435320247
duration,0.2754327144462444
housing,0.2225823538060288
amount,0.2208792394324868
credit_history,0.2145385732967301
purpose,0.20550229747098148
employment_duration,0.19277375836656008
present_residence,0.1557534966681138
foreign_worker,0.14709666092259088
telephone,0.13553576334993933
property,0.11906187595853164
installment_rate,0.07649994145396478
people_liable,0.04481355393784159
age,0.04345455746974247
job,0.028062984611184474
other_installment_plans,0.019857242335200316
number_credits,0.017351804396819576
other_debtors,0.007296743441725775
