feature,mean_importance
amount,-0.0066369414329528805
property,-0.0019558072090148926
employment_duration,-0.0014765620231628417
housing,-5.054473876953125e-06
installment_rate,0.0002670884132385254
present_residence,0.00046856403350830077
foreign_worker,0.0004750370979309082
number_credits,0.0008920788764953613
telephone,0.001439976692199707
other_installment_plans,0.001572716236114502
credit_history,0.005149614810943603
people_liable,0.005452215671539307
other_debtors,0.0059909820556640625
savings,0.009356498718261719
duration,0.00992910861968994
job,0.017670083045959472
age,0.019992029666900633
purpose,0.026766788959503175
status,0.09406627416610717
