feature,mean_importance
credit_history,-0.01737330832580968
amount,-0.016592658259034665
property,-0.010571887008600012
people_liable,-0.00950410324539237
job,-0.007137177316014709
installment_rate,-0.004516449771831787
employment_duration,-0.0004969642594393697
savings,0.000787360720333452
number_credits,0.0009712498232485878
other_debtors,0.0009893165278075822
age,0.004731438305714675
duration,0.0047994903528212115
other_installment_plans,0.007983612865584067
housing,0.008264474039849933
telephone,0.00990122482033744
status,0.016924351817785777
purpose,0.025433073824929365
foreign_worker,0.043165251560679005
present_residence,0.07395435053956498
