feature,shap_importance
id,2.636230857371968
status,0.2859201757216037
duration,0.23761575073863397
purpose,0.2023398701099173
property,0.1707662427372793
credit_history,0.16510011232362684
number_credits,0.15340819140361173
savings,0.12401129016436205
present_residence,0.12141151786169263
telephone,0.12048722922797085
foreign_worker,0.11006625575127046
other_debtors,0.10402360209553607
housing,0.09395711482867597
job,0.07651689642986306
people_liable,0.051952324141350044
other_installment_plans,0.023940129218999795
amount,0.01626444933387419
age,0.015440874342952332
installment_rate,0.013402556558541232
employment_duration,0.0005666422754393197
