feature,mean_importance
age,-0.003837570548057556
credit_history,-0.0027796417474746705
amount,-0.0016544729471206665
installment_rate,-0.00154324471950531
purpose,-0.0013523638248443604
other_debtors,-0.0009997069835662841
other_installment_plans,-5.794167518615723e-05
number_credits,0.0
foreign_worker,0.0
people_liable,0.000506642460823059
housing,0.0005120038986206055
duration,0.0021224886178970335
employment_duration,0.0022771507501602173
property,0.0024971187114715574
job,0.002649444341659546
telephone,0.0031795352697372437
savings,0.0047769695520401
present_residence,0.005428990721702576
status,0.031944721937179565
id,0.9914896667003632
