feature,mean_importance
purpose,-0.044042801542729285
employment_duration,-0.03401803907507013
other_debtors,-0.030144119528199443
property,-0.02524965345115384
credit_history,-0.017363671332267572
telephone,-0.014987342067181997
age,-0.012715452905550918
number_credits,-0.006738900862155783
installment_rate,-0.00498843775900939
present_residence,-0.002482888586289267
savings,-0.0005904510231901971
status,0.00016282360944979145
other_installment_plans,0.0017672714153636137
foreign_worker,0.00466437657540455
job,0.006780772450204098
amount,0.012437547729762133
housing,0.019415353574154137
people_liable,0.032255086551954526
duration,0.05584950563891526
id,1.748366683300015
