feature,mean_importance
installment_rate,-0.001991117407290749
duration,-0.0016054892712985547
amount,-0.000900875752564162
number_credits,-0.0003676592725802508
credit_history,-0.00027613354389763865
purpose,-0.0002567308282060865
property,-0.00020736908718263503
employment_duration,-8.198262484943598e-05
foreign_worker,-6.106226635438361e-17
telephone,-2.2204460492503132e-17
people_liable,5.551115123125783e-18
other_installment_plans,2.1592664883240965e-05
other_debtors,7.127836718822666e-05
job,7.902747857931325e-05
age,0.00023912879359848095
housing,0.0007668954942124884
present_residence,0.0018012879150517136
savings,0.0019228563705009471
status,0.02634650780701654
id,6.000736748861071
